NúmeroDoPedido,CódigoDoCliente,CódigoDoFuncionário,DataDoPedido,DataDeEntrega,DataDeEntrega,DataDeEnvio,Via,Frete,NomeDoDestinatário,EndereçoDoDestinatário,CidadeDeDestino,RegiãoDeDestino,CEPdeDestino,PaísDeDestino
10248,VINET,5,6/29/2016,7/27/2016,7/22/2036,7/11/2016,3,32.38,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,França
10249,TOMSP,6,6/30/2016,8/11/2016,8/6/2036,7/5/2016,1,11.61,Toms Spezialitäten,Luisenstr. 48,Münster,,44087,Alemanha
10250,HANAR,4,7/3/2016,7/31/2016,7/26/2036,7/7/2016,2,65.83,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brasil
10251,VICTE,3,7/3/2016,7/31/2016,7/26/2036,7/10/2016,1,41.34,Victuailles en stock,"2, rue du Commerce",Lyon,,69004,França
10252,SUPRD,4,7/4/2016,8/1/2016,7/27/2036,7/6/2016,2,51.30,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,,B-6000,Bélgica
10253,HANAR,3,7/5/2016,7/19/2016,7/14/2036,7/11/2016,2,58.17,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brasil
10254,CHOPS,5,7/6/2016,8/3/2016,7/29/2036,7/18/2016,2,22.98,Chop-suey Chinese,Hauptstr. 31,Bern,,3012,Suíça
10255,RICSU,9,7/7/2016,8/4/2016,7/30/2036,7/10/2016,3,148.33,Richter Supermarkt,Starenweg 5,Genève,,1204,Suíça
10256,WELLI,3,7/10/2016,8/7/2016,8/2/2036,7/12/2016,2,13.97,Wellington Importadora,"Rua do Mercado, 12",Resende,SP,08737-363,Brasil
10257,HILAA,4,7/11/2016,8/8/2016,8/3/2036,7/17/2016,3,81.91,HILARIÓN-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela
